Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Confidence Level),Custom field (Development),Custom field (Epic Link),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment
"Any anonymous user (central or licensee): hompage links to ""Themes of the Week"" page",CGAA-2541,30330,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:40 PM,05/Feb/18 4:40 PM,13/Feb/18 9:39 PM,,,,,0,,,"Feature: Homepage link to Themes of the Week page
Benefit:  In order to visit other recently created Theme of the week collections not featured on homepage
 Actor: As an anonymous user
 Action:  I can click the title of the currently featured Theme of the week on the homepage or click ""More Themes of the Week'
 Result of action: Then I see the page load with the ""Themes of the Week"" at the top
 !image-2018-02-05-16-39-18-132.png|thumbnail! 
 !image-2018-02-05-16-39-50-592.png|thumbnail! 
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:39 PM;kathlynw;image-2018-02-05-16-39-18-132.png;https://ownsourcing.atlassian.net/secure/attachment/24670/image-2018-02-05-16-39-18-132.png,05/Feb/18 4:39 PM;kathlynw;image-2018-02-05-16-39-50-592.png;https://ownsourcing.atlassian.net/secure/attachment/24669/image-2018-02-05-16-39-50-592.png,,,3.0,4=Unknown,{},,,1|i00dp6:,,,,,,,,
"Any anonymous user (central or licensee): ""more polls"" link on homepage",CGAA-2539,30328,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:29 PM,05/Feb/18 4:34 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-05-16-25-51-593.png|thumbnail! 
 !image-2018-02-05-16-26-29-671.png|thumbnail! 
Feature: Homepage link to Polls page
Benefit:  In order to visit other polls not featured on homepage
 Actor: As an anonymous user
 Action:  I can click on ""more polls"" under the homepage poll
 Result of action: Then I see the page load with the ""Polls"" at the top

Would this benefit from a scenario as well?
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:25 PM;kathlynw;image-2018-02-05-16-25-51-593.png;https://ownsourcing.atlassian.net/secure/attachment/24666/image-2018-02-05-16-25-51-593.png,05/Feb/18 4:26 PM;kathlynw;image-2018-02-05-16-26-29-671.png;https://ownsourcing.atlassian.net/secure/attachment/24665/image-2018-02-05-16-26-29-671.png,,,3.0,4=Unknown,{},,,1|i00doq:,,,,,,,,
"any anonymous user (central or licensee): homepage ""more quizzes"" link",CGAA-2540,30329,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:32 PM,05/Feb/18 4:32 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-05-16-30-51-809.png|thumbnail! 
Feature: Homepage link to Quizzes page
Benefit:  In order to view quizzes other than those featured on the homepage
 Actor: As an anonymous user
 Action:  I can click ""more quizzes"" under the featured homepage
 Result of action: Then I see the page load with ""Quizzes"" at the top
 !image-2018-02-05-16-32-35-100.png|thumbnail! 
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:30 PM;kathlynw;image-2018-02-05-16-30-51-809.png;https://ownsourcing.atlassian.net/secure/attachment/24668/image-2018-02-05-16-30-51-809.png,05/Feb/18 4:32 PM;kathlynw;image-2018-02-05-16-32-35-100.png;https://ownsourcing.atlassian.net/secure/attachment/24667/image-2018-02-05-16-32-35-100.png,,,3.0,4=Unknown,{},,,1|i00doy:,,,,,,,,
"any anonymous user (central or licensee): ""read more"" link on homepage under ""All about alice!""",CGAA-2538,30327,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:24 PM,05/Feb/18 4:24 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-05-16-22-50-149.png|thumbnail! 
Feature: Homepage ""read more"" link to ""All About Alice!"" page
Benefit:  In order to visit one the page of the site with more information about the content creators
 Actor: As an anonymous user
 Action:  I can click on ""read more"" under the heading ""All About Alice!"" on the homepage 
 Result of action: Then I see the page load with the ""All About Alice!"" at the top
 !image-2018-02-05-16-24-23-338.png|thumbnail! 
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:22 PM;kathlynw;image-2018-02-05-16-22-50-149.png;https://ownsourcing.atlassian.net/secure/attachment/24664/image-2018-02-05-16-22-50-149.png,,,,3.0,4=Unknown,{},,,1|i00doi:,,,,,,,,
"Any anonymous user (central or licensee): homepage ""All about alice"" link",CGAA-2537,30326,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:21 PM,05/Feb/18 4:21 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-05-16-19-47-350.png|thumbnail! 
Feature: Homepage link to All About Alice! 
Benefit:  In order to visit the page that will share more information about Alice! and who creates the content
 Actor: As an anonymous user
 Action:  I can click ""All about Alice!"" that's linked to another page
 Result of action: Then I see the page load with the same title at the top
 !image-2018-02-05-16-21-30-243.png|thumbnail! 
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:19 PM;kathlynw;image-2018-02-05-16-19-47-350.png;https://ownsourcing.atlassian.net/secure/attachment/24663/image-2018-02-05-16-19-47-350.png,,,,3.0,4=Unknown,{},,,1|i00doa:,,,,,,,,
Any anonymous user (Central or Licensee): homepage social media buttons,CGAA-2536,30325,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,05/Feb/18 4:18 PM,05/Feb/18 4:18 PM,13/Feb/18 9:39 PM,,,,,0,,,"Feature: Homepage links to Alice! social media and sharing
Benefit:  In order to visit one of the social media accounts for Alice! Health Promotion
 Actor: As an anonymous user
 Action:  I can click on a social media button on the homepage 
 Result of action: Then I a pop up screen asks if I wish to leave the GAA! site, and after clicking ""continue"" I am redirected to the particular social media account page
 !image-2018-02-05-16-17-09-210.png|thumbnail! 
 !image-2018-02-05-16-17-30-888.png|thumbnail! 
 !image-2018-02-05-16-18-00-437.png|thumbnail!  
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Feb/18 4:17 PM;kathlynw;image-2018-02-05-16-17-09-210.png;https://ownsourcing.atlassian.net/secure/attachment/24662/image-2018-02-05-16-17-09-210.png,05/Feb/18 4:17 PM;kathlynw;image-2018-02-05-16-17-30-888.png;https://ownsourcing.atlassian.net/secure/attachment/24661/image-2018-02-05-16-17-30-888.png,05/Feb/18 4:18 PM;kathlynw;image-2018-02-05-16-18-00-437.png;https://ownsourcing.atlassian.net/secure/attachment/24660/image-2018-02-05-16-18-00-437.png,,3.0,4=Unknown,{},,,1|i00do2:,,,,,,,,
Any anonymous user (licensee or central site): homepage theme Q&A links,CGAA-2535,30324,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:44 PM,02/Feb/18 3:44 PM,05/Feb/18 1:24 PM,,,,,0,,,"Feature: Homepage links to individual Q&As featured in theme of the week
Benefit:  In order to visit one of the five featured theme Q&As on the homepage
 Actor: As an anonymous user
 Action:  I can click a linked Q&A title
 Result of action: Then I see the page load with the same title at the top
 !image-2018-02-02-15-43-53-263.png|thumbnail! 
 !image-2018-02-02-15-44-20-094.png|thumbnail! ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Feb/18 3:43 PM;kathlynw;image-2018-02-02-15-43-53-263.png;https://ownsourcing.atlassian.net/secure/attachment/24659/image-2018-02-02-15-43-53-263.png,02/Feb/18 3:44 PM;kathlynw;image-2018-02-02-15-44-20-094.png;https://ownsourcing.atlassian.net/secure/attachment/24658/image-2018-02-02-15-44-20-094.png,,,3.0,4=Unknown,{},,,1|i00dnu:,,,,,,,,
Any anonymous user (licensee or central site): recent Q&As,CGAA-2534,30323,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:41 PM,02/Feb/18 3:41 PM,05/Feb/18 1:26 PM,,,,,0,,,"Feature: Homepage link to recent Q&As
Benefit:  In order to visit one of the newest and recently updated Q&As on the site
 Actor: As an anonymous user
 Action:  I can click on ""More Q&As"" on the homepage
 Result of action: Then I see the page load with the ""New Q&As"" at the top
 !image-2018-02-02-15-40-47-490.png|thumbnail! 
 !image-2018-02-02-15-41-05-277.png|thumbnail! ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Feb/18 3:40 PM;kathlynw;image-2018-02-02-15-40-47-490.png;https://ownsourcing.atlassian.net/secure/attachment/24657/image-2018-02-02-15-40-47-490.png,02/Feb/18 3:41 PM;kathlynw;image-2018-02-02-15-41-05-277.png;https://ownsourcing.atlassian.net/secure/attachment/24656/image-2018-02-02-15-41-05-277.png,,,3.0,4=Unknown,{},,,1|i00dnm:,,,,,,,,
Any anonymous user (licensee or central site): featured homepage quizzes,CGAA-2533,30322,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:36 PM,02/Feb/18 3:37 PM,05/Feb/18 3:33 PM,,,,,0,,,"Feature: Homepage links to quizzes
Benefit:  In order to visit one of the quizzes listed on the homepage
 Actor: As an anonymous user
 Action:  I can click a linked quiz title
 Result of action: Then I see the page load with the same title at the top
 !screenshot-1.png|thumbnail! 
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Feb/18 3:37 PM;kathlynw;screenshot-1.png;https://ownsourcing.atlassian.net/secure/attachment/24655/screenshot-1.png,,,,3.0,4=Unknown,{},,,1|i00dne:,,,,,,,,
Any anonymous user (licensee or central site): Voting on homepage poll,CGAA-2532,30321,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:34 PM,02/Feb/18 3:34 PM,05/Feb/18 1:14 PM,,,,,0,,,"  Scenario: voting on homepage poll
    Given I am on goaskalice.green.edu or goaskalice.columbia.edu
    And I am not logged in
    And I have clicked on a poll option
    And I click the ""vote"" button
  Then I see a message that my vote was recorded, the percentage of votes previously cast with each voting option, and the total votes cast thus far.    
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00dn6:,,,,,,,,
